/home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/1_and_2.fasta /home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/n_rosa_genomic.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
252109	257845	5739	8	5737	5732	89.96	4164906	5739	0.14	99.88	1	NZ_BCZE01000146.1
257817	263713	5916	1	5897	5916	88.98	4164906	5916	0.14	100.00	1	NZ_BCZE01000144.1
263686	274685	1	10968	11000	10968	91.00	4164906	25504	0.26	43.01	1	NZ_BCZE01000092.1
274764	285090	11100	21434	10327	10335	92.03	4164906	25504	0.25	40.52	1	NZ_BCZE01000092.1
285249	289035	21605	25403	3787	3799	91.55	4164906	25504	0.09	14.90	1	NZ_BCZE01000092.1
289784	293208	3430	4	3425	3427	90.48	4164906	3994	0.08	85.80	1	NZ_BCZE01000154.1
295240	302577	7343	1	7338	7343	92.17	4164906	9285	0.18	79.08	1	NZ_BCZE01000135.1
302570	307383	4	4765	4814	4762	90.04	4164906	5584	0.12	85.28	1	NZ_BCZE01000147.1
308184	325159	16983	7	16976	16977	91.46	4164906	16986	0.41	99.95	1	NZ_BCZE01000112.1
325231	341868	22	16624	16638	16603	91.37	4164906	33287	0.40	49.88	1	NZ_BCZE01000079.1
342207	345945	16962	20711	3739	3750	90.80	4164906	33287	0.09	11.27	1	NZ_BCZE01000079.1
346072	358579	20841	33277	12508	12437	90.71	4164906	33287	0.30	37.36	1	NZ_BCZE01000079.1
358589	362724	15925	11875	4136	4051	89.08	4164906	15930	0.10	25.43	1	NZ_BCZE01000116.1
362730	364678	11777	9810	1949	1968	90.20	4164906	15930	0.05	12.35	1	NZ_BCZE01000116.1
365748	374342	8573	1	8595	8573	91.10	4164906	15930	0.21	53.82	1	NZ_BCZE01000116.1
375655	384471	63807	55004	8817	8804	90.85	4164906	65454	0.21	13.45	1	NZ_BCZE01000050.1
384586	388426	26170	29999	3841	3830	91.23	4164906	136325	0.09	2.81	1	NZ_BCZE01000012.1
389114	390907	30266	32046	1794	1781	89.94	4164906	136325	0.04	1.31	1	NZ_BCZE01000012.1
390998	400741	54633	44903	9744	9731	91.81	4164906	65454	0.23	14.87	1	NZ_BCZE01000050.1
401810	404278	44849	42454	2469	2396	86.01	4164906	65454	0.06	3.66	1	NZ_BCZE01000050.1
404527	408663	42410	38287	4137	4124	88.87	4164906	65454	0.10	6.30	1	NZ_BCZE01000050.1
410741	411959	34673	33456	1219	1218	89.52	4164906	65454	0.03	1.86	1	NZ_BCZE01000050.1
413187	415918	30899	28157	2732	2743	92.60	4164906	65454	0.07	4.19	1	NZ_BCZE01000050.1
416152	422240	27996	21926	6089	6071	92.46	4164906	65454	0.15	9.28	1	NZ_BCZE01000050.1
423142	425023	21003	19117	1882	1887	87.18	4164906	65454	0.05	2.88	1	NZ_BCZE01000050.1
425754	426772	18612	17594	1019	1019	91.08	4164906	65454	0.02	1.56	1	NZ_BCZE01000050.1
426933	428914	17456	15473	1982	1984	88.52	4164906	65454	0.05	3.03	1	NZ_BCZE01000050.1
429030	435284	15382	9117	6255	6266	92.81	4164906	65454	0.15	9.57	1	NZ_BCZE01000050.1
435685	443996	8773	530	8312	8244	91.69	4164906	65454	0.20	12.60	1	NZ_BCZE01000050.1
445283	459660	45965	31687	14378	14279	89.36	4164906	45970	0.35	31.06	1	NZ_BCZE01000065.1
459867	476872	31395	14386	17006	17010	90.77	4164906	45970	0.41	37.00	1	NZ_BCZE01000065.1
478132	492074	13973	21	13943	13953	90.20	4164906	45970	0.33	30.35	1	NZ_BCZE01000065.1
492128	498733	10	6619	6606	6610	93.03	4164906	47750	0.16	13.84	1	NZ_BCZE01000063.1
498919	506840	29485	21575	7922	7911	91.69	4164906	99591	0.19	7.94	1	NZ_BCZE01000030.1
506943	510741	21472	17670	3799	3803	87.33	4164906	99591	0.09	3.82	1	NZ_BCZE01000030.1
511641	513940	16796	14527	2300	2270	89.81	4164906	99591	0.06	2.28	1	NZ_BCZE01000030.1
516901	527053	104988	94826	10153	10163	88.11	4164906	136401	0.24	7.45	1	NZ_BCZE01000021.1
527564	529212	94240	92597	1649	1644	92.55	4164906	136401	0.04	1.21	1	NZ_BCZE01000021.1
529374	533840	92437	88019	4467	4419	92.67	4164906	136401	0.11	3.24	1	NZ_BCZE01000021.1
541092	543082	1	1995	1991	1995	92.50	4164906	81498	0.05	2.45	1	NZ_BCZE01000039.1
543258	547208	2123	6100	3951	3978	91.99	4164906	81498	0.09	4.88	1	NZ_BCZE01000039.1
547375	549916	6297	8852	2542	2556	94.26	4164906	81498	0.06	3.14	1	NZ_BCZE01000039.1
550194	558609	9122	17563	8416	8442	91.60	4164906	81498	0.20	10.36	1	NZ_BCZE01000039.1
560020	564483	18583	23080	4464	4498	91.82	4164906	81498	0.11	5.52	1	NZ_BCZE01000039.1
564660	572037	23193	30579	7378	7387	91.41	4164906	81498	0.18	9.06	1	NZ_BCZE01000039.1
572628	576095	31157	34557	3468	3401	90.43	4164906	81498	0.08	4.17	1	NZ_BCZE01000039.1
576147	587938	34703	46418	11792	11716	89.11	4164906	81498	0.28	14.38	1	NZ_BCZE01000039.1
588142	593389	46551	51673	5248	5123	89.76	4164906	81498	0.13	6.29	1	NZ_BCZE01000039.1
593823	611744	52169	70102	17922	17934	92.28	4164906	81498	0.43	22.01	1	NZ_BCZE01000039.1
612244	614395	70449	72602	2152	2154	90.35	4164906	81498	0.05	2.64	1	NZ_BCZE01000039.1
614665	615975	73410	74721	1311	1312	92.54	4164906	81498	0.03	1.61	1	NZ_BCZE01000039.1
616263	622859	74967	81498	6597	6532	89.98	4164906	81498	0.16	8.01	1	NZ_BCZE01000039.1
623668	629195	32822	27281	5528	5542	92.81	4164906	34768	0.13	15.94	1	NZ_BCZE01000077.1
629378	634897	27014	21500	5520	5515	91.34	4164906	34768	0.13	15.86	1	NZ_BCZE01000077.1
635051	641043	21373	15347	5993	6027	90.96	4164906	34768	0.14	17.33	1	NZ_BCZE01000077.1
641524	656417	14925	1	14894	14925	93.22	4164906	34768	0.36	42.93	1	NZ_BCZE01000077.1
656536	659153	40	2670	2618	2631	93.73	4164906	13135	0.06	20.03	1	NZ_BCZE01000126.1
659484	663301	3007	6808	3818	3802	92.07	4164906	13135	0.09	28.95	1	NZ_BCZE01000126.1
663427	669862	6813	13100	6436	6288	90.78	4164906	13135	0.15	47.87	1	NZ_BCZE01000126.1
670686	675902	771	5985	5217	5215	92.01	4164906	14734	0.13	35.39	1	NZ_BCZE01000118.1
676816	679214	6220	8606	2399	2387	93.25	4164906	14734	0.06	16.20	1	NZ_BCZE01000118.1
679398	683375	8619	12558	3978	3940	92.13	4164906	14734	0.10	26.74	1	NZ_BCZE01000118.1
685954	687663	56034	54295	1710	1740	90.25	4164906	56054	0.04	3.10	1	NZ_BCZE01000056.1
687851	709032	54122	33050	21182	21073	89.81	4164906	56054	0.51	37.59	1	NZ_BCZE01000056.1
713627	719379	33031	27272	5753	5760	92.65	4164906	56054	0.14	10.28	1	NZ_BCZE01000056.1
720751	723712	27061	24057	2962	3005	87.45	4164906	56054	0.07	5.36	1	NZ_BCZE01000056.1
724690	726443	23959	22152	1754	1808	89.15	4164906	56054	0.04	3.23	1	NZ_BCZE01000056.1
726686	735746	22144	13101	9061	9044	90.46	4164906	56054	0.22	16.13	1	NZ_BCZE01000056.1
736376	744625	12677	4421	8250	8257	91.79	4164906	56054	0.20	14.73	1	NZ_BCZE01000056.1
744861	749263	4396	6	4403	4391	92.01	4164906	56054	0.11	7.83	1	NZ_BCZE01000056.1
745358	748055	65103	62415	2698	2689	83.33	4164906	76041	0.06	3.54	1	NZ_BCZE01000017.1
750819	754545	35190	31462	3727	3729	91.43	4164906	35190	0.09	10.60	1	NZ_BCZE01000074.1
754670	756410	31363	29627	1741	1737	92.03	4164906	35190	0.04	4.94	1	NZ_BCZE01000074.1
756938	780214	29605	6320	23277	23286	95.48	4164906	35190	0.56	66.17	1	NZ_BCZE01000074.1
780383	786529	6158	6	6147	6153	94.71	4164906	35190	0.15	17.49	1	NZ_BCZE01000074.1
787459	793724	60643	54389	6266	6255	92.34	4164906	60688	0.15	10.31	1	NZ_BCZE01000008.1
794484	800538	53727	47714	6055	6014	90.44	4164906	60688	0.15	9.91	1	NZ_BCZE01000008.1
800715	803955	47723	44489	3241	3235	91.71	4164906	60688	0.08	5.33	1	NZ_BCZE01000008.1
804082	807727	44407	40737	3646	3671	90.66	4164906	60688	0.09	6.05	1	NZ_BCZE01000008.1
808019	815031	6956	13970	7013	7015	94.31	4164906	16623	0.17	42.20	1	NZ_BCZE01000113.1
822747	825094	26593	24247	2348	2347	91.20	4164906	60688	0.06	3.87	1	NZ_BCZE01000008.1
825207	836402	24113	12906	11196	11208	91.76	4164906	60688	0.27	18.47	1	NZ_BCZE01000008.1
836604	838472	12760	10890	1869	1871	94.12	4164906	60688	0.04	3.08	1	NZ_BCZE01000008.1
838637	841201	10695	8124	2565	2572	90.53	4164906	60688	0.06	4.24	1	NZ_BCZE01000008.1
842665	844220	7528	5990	1556	1539	93.64	4164906	60688	0.04	2.54	1	NZ_BCZE01000008.1
844405	849083	4664	22	4679	4643	89.04	4164906	60688	0.11	7.65	1	NZ_BCZE01000008.1
849127	859142	83513	73603	10016	9911	92.97	4164906	83551	0.24	11.86	1	NZ_BCZE01000007.1
859263	879442	73482	53327	20180	20156	92.65	4164906	83551	0.48	24.12	1	NZ_BCZE01000007.1
879697	881467	53132	51406	1771	1727	85.81	4164906	83551	0.04	2.07	1	NZ_BCZE01000007.1
882332	883411	50605	49532	1080	1074	90.65	4164906	83551	0.03	1.29	1	NZ_BCZE01000007.1
883857	884982	49107	47997	1126	1111	87.41	4164906	83551	0.03	1.33	1	NZ_BCZE01000007.1
885023	897666	47667	35116	12644	12552	89.29	4164906	83551	0.30	15.02	1	NZ_BCZE01000007.1
899124	901709	35111	32518	2586	2594	88.90	4164906	83551	0.06	3.10	1	NZ_BCZE01000007.1
908583	913978	31732	26303	5396	5430	89.05	4164906	83551	0.13	6.50	1	NZ_BCZE01000007.1
913999	921257	25184	17837	7259	7348	89.32	4164906	83551	0.17	8.79	1	NZ_BCZE01000007.1
921433	932152	17818	7100	10720	10719	92.41	4164906	83551	0.26	12.83	1	NZ_BCZE01000007.1
932278	939224	6956	24	6947	6933	91.38	4164906	83551	0.17	8.30	1	NZ_BCZE01000007.1
939441	954517	84611	69516	15077	15096	90.08	4164906	84611	0.36	17.84	1	NZ_BCZE01000006.1
954763	955943	69283	68101	1181	1183	93.42	4164906	84611	0.03	1.40	1	NZ_BCZE01000006.1
956612	967394	67853	57102	10783	10752	90.99	4164906	84611	0.26	12.71	1	NZ_BCZE01000006.1
967612	970733	56938	53808	3122	3131	91.28	4164906	84611	0.07	3.70	1	NZ_BCZE01000006.1
970933	973336	53122	50719	2404	2404	91.81	4164906	84611	0.06	2.84	1	NZ_BCZE01000006.1
973574	974626	50458	49406	1053	1053	88.53	4164906	84611	0.03	1.24	1	NZ_BCZE01000006.1
974752	980707	49255	43299	5956	5957	90.47	4164906	84611	0.14	7.04	1	NZ_BCZE01000006.1
981274	984031	33310	30547	2758	2764	84.09	4164906	45594	0.07	6.06	1	NZ_BCZE01000066.1
984069	987847	43200	39410	3779	3791	90.02	4164906	84611	0.09	4.48	1	NZ_BCZE01000006.1
988045	990900	39207	36356	2856	2852	90.61	4164906	84611	0.07	3.37	1	NZ_BCZE01000006.1
991894	995720	35863	32042	3827	3822	91.69	4164906	84611	0.09	4.52	1	NZ_BCZE01000006.1
995823	998124	31936	29648	2302	2289	92.24	4164906	84611	0.06	2.71	1	NZ_BCZE01000006.1
998131	1010033	29157	17225	11903	11933	90.64	4164906	84611	0.29	14.10	1	NZ_BCZE01000006.1
1010497	1015601	17009	11909	5105	5101	90.12	4164906	84611	0.12	6.03	1	NZ_BCZE01000006.1
1018110	1029813	11801	37	11704	11765	88.78	4164906	84611	0.28	13.90	1	NZ_BCZE01000006.1
1030996	1033495	50582	48095	2500	2488	90.77	4164906	50583	0.06	4.92	1	NZ_BCZE01000060.1
1033533	1036290	47960	45201	2758	2760	90.70	4164906	50583	0.07	5.46	1	NZ_BCZE01000060.1
1040854	1060742	45082	25217	19889	19866	87.95	4164906	50583	0.48	39.27	1	NZ_BCZE01000060.1
1060869	1063115	25123	22878	2247	2246	91.02	4164906	50583	0.05	4.44	1	NZ_BCZE01000060.1
1063765	1072086	22693	14366	8322	8328	90.50	4164906	50583	0.20	16.46	1	NZ_BCZE01000060.1
1072317	1083320	14069	3057	11004	11013	88.96	4164906	50583	0.26	21.77	1	NZ_BCZE01000060.1
1083988	1086860	3036	123	2873	2914	90.51	4164906	50583	0.07	5.76	1	NZ_BCZE01000060.1
1088794	1090352	1593	35	1559	1559	89.61	4164906	1593	0.04	97.87	1	NZ_BCZE01000168.1
1090642	1095185	108521	103902	4544	4620	89.27	4164906	108761	0.11	4.25	1	NZ_BCZE01000005.1
1095303	1097870	103787	101190	2568	2598	87.85	4164906	108761	0.06	2.39	1	NZ_BCZE01000005.1
1098264	1103396	99476	94319	5133	5158	88.09	4164906	108761	0.12	4.74	1	NZ_BCZE01000005.1
1105618	1112452	92989	86173	6835	6817	90.86	4164906	108761	0.16	6.27	1	NZ_BCZE01000005.1
1125132	1126397	15619	14353	1266	1267	87.56	4164906	29198	0.03	4.34	1	NZ_BCZE01000084.1
1129123	1136617	82876	75429	7495	7448	90.66	4164906	108761	0.18	6.85	1	NZ_BCZE01000005.1
1136898	1154822	75416	57419	17925	17998	90.17	4164906	108761	0.43	16.55	1	NZ_BCZE01000005.1
1154973	1175754	57292	36578	20782	20715	90.68	4164906	108761	0.50	19.05	1	NZ_BCZE01000005.1
1175909	1179239	36407	33076	3331	3332	90.91	4164906	108761	0.08	3.06	1	NZ_BCZE01000005.1
1179542	1189158	32791	23153	9617	9639	92.21	4164906	108761	0.23	8.86	1	NZ_BCZE01000005.1
1189262	1196418	23048	15922	7157	7127	94.50	4164906	108761	0.17	6.55	1	NZ_BCZE01000005.1
1196604	1202180	15686	10107	5577	5580	91.94	4164906	108761	0.13	5.13	1	NZ_BCZE01000005.1
1202317	1203969	10104	8449	1653	1656	92.21	4164906	108761	0.04	1.52	1	NZ_BCZE01000005.1
1204344	1210861	7966	1448	6518	6519	91.28	4164906	108761	0.16	5.99	1	NZ_BCZE01000005.1
1211298	1212359	1077	2	1062	1076	91.54	4164906	108761	0.03	0.99	1	NZ_BCZE01000005.1
1212345	1214647	6916	4614	2303	2303	93.14	4164906	6916	0.06	33.30	1	NZ_BCZE01000004.1
1214667	1217244	4475	1919	2578	2557	93.15	4164906	6916	0.06	36.97	1	NZ_BCZE01000004.1
1217875	1219299	1676	268	1425	1409	87.62	4164906	6916	0.03	20.37	1	NZ_BCZE01000004.1
1219629	1223179	141983	138418	3551	3566	92.75	4164906	142095	0.09	2.51	1	NZ_BCZE01000003.1
1223328	1224619	138306	137015	1292	1292	89.44	4164906	142095	0.03	0.91	1	NZ_BCZE01000003.1
1224919	1227253	136727	134403	2335	2325	92.47	4164906	142095	0.06	1.64	1	NZ_BCZE01000003.1
1227482	1230914	134151	130660	3433	3492	90.02	4164906	142095	0.08	2.46	1	NZ_BCZE01000003.1
1231145	1234052	130430	127512	2908	2919	89.10	4164906	142095	0.07	2.05	1	NZ_BCZE01000003.1
1234192	1253464	127363	108152	19273	19212	91.39	4164906	142095	0.46	13.52	1	NZ_BCZE01000003.1
1253589	1258373	108142	103374	4785	4769	89.44	4164906	142095	0.11	3.36	1	NZ_BCZE01000003.1
1258524	1265920	103223	95841	7397	7383	87.56	4164906	142095	0.18	5.20	1	NZ_BCZE01000003.1
1266083	1271453	95834	90432	5371	5403	87.56	4164906	142095	0.13	3.80	1	NZ_BCZE01000003.1
1272139	1277091	89766	84861	4953	4906	88.91	4164906	142095	0.12	3.45	1	NZ_BCZE01000003.1
1277394	1278944	84560	83007	1551	1554	79.39	4164906	142095	0.04	1.09	1	NZ_BCZE01000003.1
1280179	1298677	81795	63342	18499	18454	92.00	4164906	142095	0.44	12.99	1	NZ_BCZE01000003.1
1298763	1304944	63204	57036	6182	6169	92.39	4164906	142095	0.15	4.34	1	NZ_BCZE01000003.1
1307365	1310364	56468	53466	3000	3003	91.36	4164906	142095	0.07	2.11	1	NZ_BCZE01000003.1
1313136	1321680	52271	43735	8545	8537	89.16	4164906	142095	0.21	6.01	1	NZ_BCZE01000003.1
1334608	1339757	43716	38557	5150	5160	91.95	4164906	142095	0.12	3.63	1	NZ_BCZE01000003.1
1339771	1351602	38444	26566	11832	11879	90.60	4164906	142095	0.28	8.36	1	NZ_BCZE01000003.1
1351750	1355340	26445	22879	3591	3567	88.76	4164906	142095	0.09	2.51	1	NZ_BCZE01000003.1
1355735	1367791	22863	10794	12057	12070	92.22	4164906	142095	0.29	8.49	1	NZ_BCZE01000003.1
1368055	1377883	10536	714	9829	9823	92.19	4164906	142095	0.24	6.91	1	NZ_BCZE01000003.1
1383443	1385237	175	1960	1795	1786	88.16	4164906	204838	0.04	0.87	1	NZ_BCZE01000009.1
1385475	1409280	2087	25796	23806	23710	90.59	4164906	204838	0.57	11.58	1	NZ_BCZE01000009.1
1409521	1437225	26045	53747	27705	27703	91.48	4164906	204838	0.67	13.52	1	NZ_BCZE01000009.1
1437335	1444342	53839	60852	7008	7014	91.68	4164906	204838	0.17	3.42	1	NZ_BCZE01000009.1
1444550	1450219	61066	66740	5670	5675	90.59	4164906	204838	0.14	2.77	1	NZ_BCZE01000009.1
1450354	1456486	66773	72906	6133	6134	90.75	4164906	204838	0.15	2.99	1	NZ_BCZE01000009.1
1457720	1460510	74149	76965	2791	2817	92.81	4164906	204838	0.07	1.38	1	NZ_BCZE01000009.1
1461782	1471524	77052	86729	9743	9678	90.99	4164906	204838	0.23	4.72	1	NZ_BCZE01000009.1
1473331	1477072	86734	90511	3742	3778	86.59	4164906	204838	0.09	1.84	1	NZ_BCZE01000009.1
1477351	1482981	92011	97608	5631	5598	89.77	4164906	204838	0.14	2.73	1	NZ_BCZE01000009.1
1483378	1486465	97642	100744	3088	3103	94.56	4164906	204838	0.07	1.51	1	NZ_BCZE01000009.1
1488107	1495198	100780	107893	7092	7114	91.87	4164906	204838	0.17	3.47	1	NZ_BCZE01000009.1
1495217	1502600	108199	115561	7384	7363	93.44	4164906	204838	0.18	3.59	1	NZ_BCZE01000009.1
1502715	1518321	115592	131187	15607	15596	90.48	4164906	204838	0.37	7.61	1	NZ_BCZE01000009.1
1518722	1520401	131191	132865	1680	1675	82.81	4164906	204838	0.04	0.82	1	NZ_BCZE01000009.1
1520764	1522161	133237	134637	1398	1401	81.95	4164906	204838	0.03	0.68	1	NZ_BCZE01000009.1
1525916	1527886	138006	139994	1971	1989	85.09	4164906	204838	0.05	0.97	1	NZ_BCZE01000009.1
1529508	1531582	141650	143725	2075	2076	87.96	4164906	204838	0.05	1.01	1	NZ_BCZE01000009.1
1532157	1537752	143988	149587	5596	5600	90.10	4164906	204838	0.13	2.73	1	NZ_BCZE01000009.1
1543372	1544902	60710	62240	1531	1531	83.08	4164906	76041	0.04	2.01	1	NZ_BCZE01000017.1
1549144	1553076	149685	153627	3933	3943	89.46	4164906	204838	0.09	1.92	1	NZ_BCZE01000009.1
1553109	1560313	41787	34567	7205	7221	91.63	4164906	48307	0.17	14.95	1	NZ_BCZE01000062.1
1560391	1562788	44324	41926	2398	2399	87.26	4164906	48307	0.06	4.97	1	NZ_BCZE01000062.1
1564178	1571051	10438	3607	6874	6832	90.01	4164906	110027	0.17	6.21	1	NZ_BCZE01000026.1
1591338	1592811	73207	71734	1474	1474	84.11	4164906	113239	0.04	1.30	1	NZ_BCZE01000023.1
1605692	1611702	2230	8245	6011	6016	86.34	4164906	16326	0.14	36.85	1	NZ_BCZE01000114.1
1614007	1615347	10498	11838	1341	1341	84.46	4164906	16326	0.03	8.21	1	NZ_BCZE01000114.1
1617106	1619753	13623	16297	2648	2675	82.15	4164906	16326	0.06	16.38	1	NZ_BCZE01000114.1
1619760	1620963	8	1211	1204	1204	85.16	4164906	1227	0.03	98.13	1	NZ_BCZE01000176.1
1620981	1622425	2	1446	1445	1445	86.81	4164906	24691	0.03	5.85	1	NZ_BCZE01000094.1
1624317	1625839	1737	3262	1523	1526	85.21	4164906	24691	0.04	6.18	1	NZ_BCZE01000094.1
1626206	1627505	3608	4907	1300	1300	84.99	4164906	24691	0.03	5.27	1	NZ_BCZE01000094.1
1628425	1630768	5479	7825	2344	2347	85.64	4164906	24691	0.06	9.51	1	NZ_BCZE01000094.1
1639643	1642647	89066	86059	3005	3008	90.73	4164906	113239	0.07	2.66	1	NZ_BCZE01000023.1
1649196	1650734	5268	3730	1539	1539	84.48	4164906	99591	0.04	1.55	1	NZ_BCZE01000030.1
1681947	1683123	18385	19561	1177	1177	79.14	4164906	92892	0.03	1.27	1	NZ_BCZE01000035.1
1727053	1728170	38130	39256	1118	1127	89.97	4164906	62590	0.03	1.80	1	NZ_BCZE01000053.1
1728284	1729848	39368	40932	1565	1565	92.72	4164906	62590	0.04	2.50	1	NZ_BCZE01000053.1
1733292	1734965	58153	56481	1674	1673	84.31	4164906	63295	0.04	2.64	1	NZ_BCZE01000051.1
1831371	1832783	46631	45219	1413	1413	83.42	4164906	63295	0.03	2.23	1	NZ_BCZE01000051.1
1850787	1853360	257651	255072	2574	2580	86.01	4164906	357524	0.06	0.72	1	NZ_BCZE01000001.1
1870198	1872507	64768	67077	2310	2310	84.94	4164906	92892	0.06	2.49	1	NZ_BCZE01000035.1
1872616	1876739	67186	71309	4124	4124	81.62	4164906	92892	0.10	4.44	1	NZ_BCZE01000035.1
1878933	1880957	73508	75534	2025	2027	82.14	4164906	92892	0.05	2.18	1	NZ_BCZE01000035.1
1885588	1887211	69091	70704	1624	1614	90.73	4164906	128717	0.04	1.25	1	NZ_BCZE01000022.1
1905848	1907349	58	1547	1502	1490	82.15	4164906	13383	0.04	11.13	1	NZ_BCZE01000124.1
1905852	1908544	61	2753	2693	2693	84.32	4164906	8401	0.06	32.06	1	NZ_BCZE01000138.1
1905933	1912388	6456	1	6456	6456	90.06	4164906	21461	0.16	30.08	1	NZ_BCZE01000105.1
1929623	1931123	45594	44106	1501	1489	86.49	4164906	45594	0.04	3.27	1	NZ_BCZE01000066.1
1935743	1937809	19935	22001	2067	2067	79.22	4164906	35369	0.05	5.84	1	NZ_BCZE01000073.1
1938053	1939854	22243	24047	1802	1805	83.25	4164906	35369	0.04	5.10	1	NZ_BCZE01000073.1
1947553	1948941	166529	165140	1389	1390	85.49	4164906	189116	0.03	0.73	1	NZ_BCZE01000010.1
1949686	1955045	963	6323	5360	5361	88.33	4164906	11663	0.13	45.97	1	NZ_BCZE01000129.1
1956650	1965206	132434	123863	8557	8572	85.83	4164906	136325	0.21	6.29	1	NZ_BCZE01000012.1
1961537	1962577	84027	85070	1041	1044	82.35	4164906	128717	0.02	0.81	1	NZ_BCZE01000022.1
1978491	1980323	117976	116128	1833	1849	89.47	4164906	136325	0.04	1.36	1	NZ_BCZE01000012.1
1980672	2003553	115788	93066	22882	22723	90.97	4164906	136325	0.55	16.67	1	NZ_BCZE01000012.1
2003952	2026589	92766	70123	22638	22644	88.54	4164906	136325	0.54	16.61	1	NZ_BCZE01000012.1
2026692	2045093	70020	51569	18402	18452	88.33	4164906	136325	0.44	13.54	1	NZ_BCZE01000012.1
2045203	2048510	51459	48166	3308	3294	88.76	4164906	136325	0.08	2.42	1	NZ_BCZE01000012.1
